file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,232,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,8
style.css,233,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,234,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,58
style.css,235,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,14
style.css,236,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,12
style.css,237,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,37
style.css,238,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,20
style.css,239,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,14
style.css,240,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,15
style.css,241,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,15
style.css,242,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,22
style.css,243,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,244,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,245,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,246,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,247,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,19
